State,Year,Consumption(Mn)
Idaho,2015,208.9145966
Illinois,2015,32596.80273
Indiana,2015,32676.5625
Iowa,2015,2845.737061
Kansas,2015,1261.883545
Kentucky,2015,6426.641602
Louisiana,2015,2578.027588
Maine,2015,419.0430908
Maryland,2015,1376.962524
Massachusetts,2015,2113.609619
Minnesota,2015,5884.243652
Mississippi,2015,1237.067261
Missouri,2015,2735.365723
Montana,2015,196.0537109
Nebraska,2015,1059.025391
Nevada,2015,403.2843933
New Hampshire,2015,249.9812927
New Jersey,2015,4950.125977
New Mexico,2015,161.2321014
New York,2015,5728.137207
North Carolina,2015,5278.793945
North Dakota,2015,1038.106079
Ohio,2015,44312.87891
Oklahoma,2015,819.713501
Oregon,2015,408.1137085
Pennsylvania,2015,6447.131836
Rhode Island,2015,247.1325989
South Carolina,2015,2576.822754
South Dakota,2015,260.1339111
Tennessee,2015,4961.921387
Texas,2015,10001.57324
Utah,2015,1048.164673
Vermont,2015,456.112793
Virginia,2015,1738.140991
Washington,2015,2486.063477
West Virginia,2015,1260.388062
Wisconsin,2015,10169.47363
Wyoming,2015,348.6555176
Alabama,2014,2048.68457
Alaska,2014,17.51980019
Arizona,2014,433.6123047
Arkansas,2014,1578.560181
California,2014,9343.772461
Colorado,2014,998.7177734
Connecticut,2014,1545.539429
Delaware,2014,386.6648865
District of Columbia,2014,5.426499844
Florida,2014,2376.22998
Georgia,2014,3345.583496
Hawaii,2014,7.362400055
Idaho,2014,204.3813019
Illinois,2014,31601.75977
Indiana,2014,31560.78906
Iowa,2014,2793.336426
Kansas,2014,1212.336304
Kentucky,2014,6247.634277
Louisiana,2014,2456.075928
Maine,2014,402.3579102
Maryland,2014,1326.964722
Massachusetts,2014,2022.852173
Minnesota,2014,5653.930176
Mississippi,2014,1211.107178
Missouri,2014,2663.631592
Montana,2014,199.6598969
Nebraska,2014,1050.894653
Nevada,2014,396.7250061
New Hampshire,2014,246.3627014
New Jersey,2014,5048.911133
New Mexico,2014,151.7064056
New York,2014,5587.509766
North Carolina,2014,5089.620605
North Dakota,2014,979.7955933
Ohio,2014,43100.50391
Oklahoma,2014,824.3939209
Oregon,2014,386.9931946
Pennsylvania,2014,6362.90332
Rhode Island,2014,236.7066956
South Carolina,2014,2515.863525
South Dakota,2014,250.6596069
Tennessee,2014,4920.334473
Texas,2014,9459.433594
Utah,2014,996.6981201
Vermont,2014,444.3280945
Virginia,2014,1709.443481
Washington,2014,2448.021973
West Virginia,2014,1286.407715
Wisconsin,2014,10052.06934
Wyoming,2014,355.6805115
Alabama,2013,1999.780151
Alaska,2013,17.4137001
Arizona,2013,421.5434875
Arkansas,2013,1557.2052
California,2013,8929.56543
Colorado,2013,947.2897949
Connecticut,2013,1585.86084
Delaware,2013,373.6341858
District of Columbia,2013,5.066500187
Florida,2013,2347.158691
Georgia,2013,3254.356934
Hawaii,2013,7.519199848
Idaho,2013,205.2444916
Illinois,2013,30590.04102
Indiana,2013,30245.1875
Iowa,2013,2757.903564
Kansas,2013,1197.728394
Kentucky,2013,5849.121094
Louisiana,2013,2358.992432
Maine,2013,399.7146912
Maryland,2013,1372.761841
Massachusetts,2013,1968.947632
Minnesota,2013,5550.533691
Mississippi,2013,1177.046265
Missouri,2013,2541.575195
Montana,2013,200.8184967
Nebraska,2013,1028.384399
Nevada,2013,378.1958923
New Hampshire,2013,240.4214935
New Jersey,2013,4963.505371
New Mexico,2013,147.0121918
New York,2013,5592.166016
North Carolina,2013,4960.475586
North Dakota,2013,876.0446167
Ohio,2013,41622.20313
Oklahoma,2013,792.0256958
Oregon,2013,373.0545044
Pennsylvania,2013,6250.772461
Rhode Island,2013,227.8386993
South Carolina,2013,2401.763916
South Dakota,2013,235.5653992
Tennessee,2013,4740.588379
Texas,2013,9142.495117
Utah,2013,980.8615112
Vermont,2013,449.3179932
Virginia,2013,1665.794556
Washington,2013,2302.477783
West Virginia,2013,1243.143677
Wisconsin,2013,9940.432617
Wyoming,2013,360.7288818
Alabama,2012,1999.093628
Alaska,2012,18.41419983
Arizona,2012,430.7304993
Arkansas,2012,1570.434937
California,2012,9007.137695
Colorado,2012,984.0551758
Connecticut,2012,1642.925049
Delaware,2012,414.702301
District of Columbia,2012,5.793600082
Florida,2012,2448.042725
Georgia,2012,3313.004883
Hawaii,2012,7.508500099
Idaho,2012,192.6551971
Illinois,2012,30878.63867
Indiana,2012,29312.46484
Iowa,2012,2730.755859
Kansas,2012,1222.920532
Kentucky,2012,5449.91748
Louisiana,2012,2432.533936
Maine,2012,407.4367065
Maryland,2012,1433.379395
Massachusetts,2012,2014.998901
Minnesota,2012,5490.592285
Mississippi,2012,1172.980835
Missouri,2012,2583.103027
Montana,2012,191.3047028
Nebraska,2012,1026.505859
Nevada,2012,363.3546143
New Hampshire,2012,247.1952972
New Jersey,2012,5167.678223
New Mexico,2012,140.2845917
New York,2012,5692.713867
North Carolina,2012,5097.964844
North Dakota,2012,686.7800903
Ohio,2012,41494.86328
Oklahoma,2012,788.338623
Oregon,2012,394.6582031
Pennsylvania,2012,6258.630371
Rhode Island,2012,229.0061951
South Carolina,2012,2438.206543
South Dakota,2012,243.0240021
Tennessee,2012,4724.856445
Texas,2012,9129.90332
Utah,2012,966.9562988
Vermont,2012,455.7331848
Virginia,2012,1697.256958
Washington,2012,2321.703857
West Virginia,2012,1183.999756
Wisconsin,2012,9979.246094
Wyoming,2012,340.765686
